,title,Pandemic Legacy: Season 1,Through the Ages: A New Story of Civilization,Twilight Struggle,Gloomhaven,Star Wars: Rebellion,Terra Mystica,Terraforming Mars,Scythe,7 Wonders Duel,The Castles of Burgundy,Caverna: The Cave Farmers,Puerto Rico,War of the Ring (Second Edition),Great Western Trail,Agricola,Mage Knight Board Game,Blood Rage,Through the Ages: A Story of Civilization,Arkham Horror: The Card Game,Mansions of Madness: Second Edition,Star Wars: Imperial Assault,Mechs vs. Minions,Power Grid,Eclipse,Orléans,Food Chain Magnate,Robinson Crusoe: Adventures on the Cursed Island,Viticulture Essential Edition,Concordia,Brass: Lancashire,Le Havre,Android: Netrunner,Tzolk'in: The Mayan Calendar,A Feast for Odin,T.I.M.E Stories,Codenames,7 Wonders,Keyflower,The Voyages of Marco Polo,Caylus,Twilight Imperium (Third Edition),Eldritch Horror,Race for the Galaxy,Lords of Waterdeep,Dominant Species,Patchwork,Five Tribes,Dead of Winter: A Crossroads Game,Roll for the Galaxy,El Grande,Dominion: Intrigue,Star Wars: X-Wing Miniatures Game,Fields of Arle,Battlestar Galactica,Clank!: A Deck-Building Adventure,Mombasa,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Dominion,The 7th Continent,Russian Railroads,Trajan,Tigris & Euphrates,Troyes,Pandemic,Santorini,Crokinole,Descent: Journeys in the Dark (Second Edition),Castles of Mad King Ludwig,Kemet,The Gallerist,War of the Ring (first edition),Stone Age,The Resistance: Avalon,Alchemists,Arcadia Quest,A Game of Thrones: The Board Game (Second Edition),Legendary Encounters: An Alien Deck Building Game,Ora et Labora,Star Realms,Forbidden Stars,Nations,Suburbia,Commands & Colors: Ancients,Railways of the World,Ticket to Ride: Europe,Chaos in the Old World,Istanbul,Paths of Glory,Cosmic Encounter,Combat Commander: Europe,Captain Sonar,Goa,Steam,The Lord of the Rings: The Card Game,Jaipur,La Granja,Age of Steam,Hansa Teutonica,Splendor,Zombicide: Black Plague
0,Pandemic Legacy: Season 1,0.07137758743754462,0.0,0.17844396859386152,0.14275517487508924,0.0,0.03568879371877231,0.0,0.03568879371877231,0.0,0.0,0.0,0.0,0.0,0.0,0.07137758743754462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03568879371877231,0.0,0.0,0.0,0.03568879371877231,0.0,0.0,0.0,0.0,0.03568879371877231,0.0,0.0,0.0,0.03568879371877231,0.0,0.0,0.03568879371877231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07137758743754462,0.0,0.0,0.0,0.0,0.0,31.548893647394717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28551034975017847,0.0,0.0,0.0,0.0,0.0,0.03568879371877231,0.0,0.0,0.0,0.0,0.49964311206281226,0.10706638115631692,0.0,0.0,0.0,0.0,0.0,0.03568879371877231,0.0
1,Through the Ages: A New Story of Civilization,0.0,0.4816955684007707,0.1926782273603083,0.0,0.0,0.09633911368015415,0.1926782273603083,0.09633911368015415,0.0,0.0,0.0,0.09633911368015415,0.0,0.0,0.4816955684007707,0.0,0.0,0.1926782273603083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926782273603083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28901734104046245,0.0,0.0,0.09633911368015415,0.0,0.0,0.09633911368015415,0.0,0.0,0.0,0.0,0.0,0.0,0.09633911368015415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926782273603083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09633911368015415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4084778420038537,0.0,0.0,0.0,0.0,0.0,0.0,0.09633911368015415,0.0,0.0,0.0,0.3853564547206166,0.1926782273603083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Twilight Struggle,0.0,0.0,4.570127823498511,0.0,0.0,0.0,0.0,0.0,0.01751006828926633,0.0,0.0,0.14008054631413064,0.0,0.0,0.22763088776046225,0.0,0.01751006828926633,0.0,0.0,0.0,0.0,0.0,0.01751006828926633,0.03502013657853266,0.0,0.0,0.0,0.0,0.01751006828926633,0.0,0.03502013657853266,0.01751006828926633,0.0,0.0,0.0,0.0,0.01751006828926633,0.0,0.0,0.07004027315706532,0.0,0.01751006828926633,0.03502013657853266,0.0,0.07004027315706532,0.01751006828926633,0.0,0.0,0.0,0.2976711609175276,0.0,0.0,0.01751006828926633,0.01751006828926633,0.0,0.0,0.0,0.03502013657853266,0.0,0.0,0.0,0.01751006828926633,0.0,0.1225704780248643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01751006828926633,0.0,0.42024163894239186,0.0,0.0,0.0,0.0,0.0,0.0,0.42024163894239186,0.0,0.01751006828926633,0.0,0.22763088776046225,0.6653825949921205,0.0,0.0,0.0,0.01751006828926633,0.0,0.0,0.0
3,Gloomhaven,0.0,0.0,0.0,9.211873080859775,0.0,0.0,0.0,0.1023541453428864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023541453428864,0.0,0.0,0.0,0.0,0.1023541453428864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0235414534288638,0.0,0.0,0.0,0.0,0.1023541453428864,0.0,0.0,0.0,0.0,0.0,0.1023541453428864,0.0,0.0,0.0,0.0,0.0,0.2047082906857728,0.0,0.0,0.0,0.0,0.0,0.1023541453428864,0.0,0.1023541453428864,0.0,0.0,2.661207778915046,0.1023541453428864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Star Wars: Rebellion,0.0,0.0,1.4154281670205238,0.0,1.6277423920736023,0.07077140835102619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14154281670205238,0.0,0.0,0.0,0.07077140835102619,0.0,0.0,0.21231422505307856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21231422505307856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35385704175513094,0.14154281670205238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8492569002123143,0.07077140835102619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Terra Mystica,0.0,0.0,0.08779631255487269,0.0,0.0,6.760316066725197,0.029265437518290898,0.35118525021949076,0.0,0.0,0.0,0.6731050629206906,0.0,0.0,0.9072285630670178,0.029265437518290898,0.0,0.0,0.0,0.0,0.0,0.0,0.2633889376646181,1.404741000877963,0.0,0.0,0.0,0.0,0.0,0.0,0.08779631255487269,0.0,0.029265437518290898,0.0,0.0,0.0,0.11706175007316359,0.08779631255487269,0.0,0.2633889376646181,0.0,0.0,0.11706175007316359,0.058530875036581796,0.46824700029265437,0.0,0.0,0.0,0.0,0.029265437518290898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11706175007316359,0.0,0.08779631255487269,0.3219198127011999,0.0,0.029265437518290898,0.08779631255487269,0.0,0.0,0.0,0.0,0.029265437518290898,0.0,0.0,0.029265437518290898,0.0,0.43898156277436345,0.0,0.0,0.0,0.029265437518290898,0.0,0.0,0.4975124378109453,0.0,0.0,0.0,0.0,0.0,0.029265437518290898,0.0,0.029265437518290898,0.0,0.0,0.9364940005853087,0.08779631255487269,0.0,0.0,0.0,0.08779631255487269,0.9364940005853087,0.0,0.0
6,Terraforming Mars,0.047058823529411764,0.0,0.1411764705882353,0.047058823529411764,0.0,0.5176470588235295,6.070588235294117,0.9882352941176471,0.0,0.047058823529411764,0.0,0.1411764705882353,0.0,0.5176470588235295,0.6588235294117647,0.0,0.047058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764,0.0,0.0,0.0,0.0,0.09411764705882353,0.0,0.0,0.047058823529411764,0.0,0.0,0.18823529411764706,0.0,0.0,0.0,0.0,0.0,4.094117647058823,0.0,0.1411764705882353,0.047058823529411764,0.047058823529411764,0.0,0.18823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.09411764705882353,0.0,0.1411764705882353,0.0,0.0,0.0,0.0,0.0,0.18823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764,0.0,0.047058823529411764,1.223529411764706,0.18823529411764706,0.0,0.0,0.0,0.047058823529411764,0.047058823529411764,0.0,0.047058823529411764,0.0,0.0,1.5529411764705883,0.0,0.0,0.0,0.09411764705882353,0.0,0.047058823529411764,0.0,0.0
7,Scythe,0.0,0.0,0.03553660270078181,0.0,0.0,3.411513859275053,0.17768301350390903,10.021321961620469,0.0,0.03553660270078181,0.0,0.07107320540156362,0.0,0.0,0.39090262970859985,0.0,0.39090262970859985,0.0,0.0,0.0,0.0,0.03553660270078181,0.10660980810234541,1.812366737739872,0.0,0.03553660270078181,0.0,0.0,0.17768301350390903,0.0,0.0,0.0,0.0,0.03553660270078181,0.0,0.0,0.03553660270078181,0.03553660270078181,0.0,0.07107320540156362,0.0,0.0,0.03553660270078181,0.07107320540156362,0.10660980810234541,0.0,0.03553660270078181,0.0,0.03553660270078181,0.07107320540156362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03553660270078181,0.0,0.0,0.0,0.03553660270078181,0.0,0.10660980810234541,0.0,0.0,0.0,0.0,0.7818052594171997,0.07107320540156362,0.0,0.0,0.0,0.0,0.03553660270078181,0.0,0.0,0.0,0.0,0.07107320540156362,2.025586353944563,0.0,0.0,0.0,0.0,0.07107320540156362,0.07107320540156362,0.0,0.07107320540156362,0.0,0.0,1.6702203269367448,0.6751954513148543,0.0,0.0,0.0,0.03553660270078181,0.24875621890547264,0.0,0.0
8,7 Wonders Duel,0.0,0.0,0.0328515111695138,0.0,0.0,0.0,0.0,0.0,1.773981603153745,0.0,0.0,0.0,0.0,0.0,0.09855453350854139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328515111695138,0.0,0.0,0.0,0.0,0.0,25.985545335085416,0.0,0.0328515111695138,0.0,0.0,0.0,0.09855453350854139,0.0,0.0,0.39421813403416556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328515111695138,0.0,0.0,0.0,0.0,0.0,0.0,0.0657030223390276,0.0,0.0657030223390276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164257555847569,0.0,0.0,0.1314060446780552,0.0,0.0,0.0,0.328515111695138,0.0
9,The Castles of Burgundy,0.0,0.0,0.0,0.0,0.0,0.0689496667432774,0.0,0.0,0.0,1.2181107791312342,0.0,0.7814295564238106,0.0,0.022983222247759137,0.689496667432774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689496667432774,0.0,0.0689496667432774,0.0,0.0,0.0,0.0,0.022983222247759137,0.0689496667432774,0.09193288899103655,0.0,0.11491611123879568,0.0,0.0,0.20684900022983221,0.0689496667432774,0.0,0.045966444495518274,0.022983222247759137,0.0,0.0689496667432774,0.022983222247759137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16088255573431395,0.0,0.0,1.2181107791312342,0.0,0.8273960009193289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16088255573431395,0.0,0.0,0.0,0.0,0.0,0.0689496667432774,0.022983222247759137,0.0,0.3677315559641462,0.22983222247759136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8044127786715698,0.022983222247759137,0.0,0.0,0.0,0.0,0.0689496667432774,0.0,0.0
